hidden_size,n_layers,dropout,lr,val_loss,best_epoch,n_params
64,2,0.3,0.001,0.0005008212342505842,1,89475
64,2,0.4,0.001,0.000504755455256172,1,89475
64,2,0.4,0.0005,0.0005272759170907823,1,89475
32,2,0.2,0.0005,0.0005518275877919493,4,31939
32,2,0.4,0.001,0.0005519004686686165,3,31939
32,2,0.2,0.001,0.0005530461765566188,4,31939
32,2,0.3,0.001,0.0005561427988616348,3,31939
32,2,0.3,0.0005,0.0005642305189018785,7,31939
32,1,0.3,0.001,0.0005653800465581719,4,23491
32,2,0.4,0.0005,0.0005662763583077883,7,31939
32,1,0.2,0.001,0.0005720534239953158,4,23491
32,1,0.4,0.0005,0.0005782702950626517,8,23491
64,2,0.2,0.001,0.0005817397224576001,11,89475
64,2,0.3,0.0005,0.0005828302168996705,1,89475
64,1,0.3,0.001,0.0005894850579389796,3,56195
64,1,0.4,0.001,0.0006111118731790193,3,56195
32,1,0.3,0.0005,0.0006179296003613306,14,23491
64,1,0.2,0.001,0.0006240550617584907,3,56195
32,1,0.2,0.0005,0.0006314961038572641,11,23491
32,1,0.4,0.001,0.0006397254805129261,5,23491
64,1,0.4,0.0005,0.0006401614180097971,5,56195
64,1,0.3,0.0005,0.0006422974656023357,4,56195
64,1,0.2,0.0005,0.0006469461941256122,6,56195
64,2,0.2,0.0005,0.0006891545347031722,4,89475
