d_model,n_heads,e_layers,modes,version,dropout,lr,val_loss,best_epoch,n_params
32,4,1,16,Wavelets,0.3,0.001,0.0009511935325496384,2,230490
16,8,1,16,Fourier,0.2,0.0005,0.0009512998349150266,8,12122
32,8,1,16,Wavelets,0.3,0.0005,0.0009516941386072146,10,230490
16,8,1,16,Wavelets,0.3,0.001,0.0009517295392295302,4,210418
32,8,1,8,Fourier,0.2,0.001,0.0009517898841943171,5,30642
32,4,1,16,Wavelets,0.2,0.001,0.0009518877117463723,4,230490
32,8,1,16,Fourier,0.2,0.001,0.0009520062266157522,7,31666
16,4,1,16,Wavelets,0.3,0.001,0.0009521805101617673,4,210418
16,8,1,8,Fourier,0.3,0.0005,0.0009525491947097932,4,11866
32,8,1,16,Wavelets,0.2,0.001,0.000952616157950404,3,230490
32,8,1,8,Fourier,0.3,0.001,0.0009528058033217402,13,30642
32,8,1,16,Fourier,0.2,0.0005,0.0009529343882089982,12,31666
32,4,1,16,Wavelets,0.3,0.0005,0.0009532428828892795,10,230490
16,8,1,16,Wavelets,0.2,0.0005,0.0009532583007938413,6,210418
32,8,1,16,Fourier,0.3,0.0005,0.0009534671376659186,16,31666
16,4,1,16,Wavelets,0.2,0.001,0.0009538438043443098,3,210418
32,8,1,8,Fourier,0.2,0.0005,0.0009539194050835763,7,30642
16,8,1,16,Fourier,0.3,0.001,0.000954134136013426,15,12122
16,8,1,8,Fourier,0.2,0.001,0.0009542135494007523,9,11866
16,8,1,16,Fourier,0.2,0.001,0.0009542492589215927,2,12122
32,8,1,16,Wavelets,0.3,0.001,0.0009545223152232379,10,230490
16,8,1,16,Wavelets,0.3,0.0005,0.0009553725544336609,6,210418
16,8,1,8,Fourier,0.3,0.001,0.000955457816163999,10,11866
32,8,1,8,Fourier,0.3,0.0005,0.0009554615351615773,2,30642
32,8,1,16,Fourier,0.3,0.001,0.00095581727928596,4,31666
32,8,1,16,Wavelets,0.2,0.0005,0.0009563672197138704,4,230490
16,8,1,16,Wavelets,0.2,0.001,0.0009564366576592001,11,210418
16,8,1,8,Fourier,0.2,0.0005,0.0009564502021839727,4,11866
16,4,1,16,Wavelets,0.3,0.0005,0.0009570777932972616,9,210418
16,8,1,16,Fourier,0.3,0.0005,0.00095709553303046,8,12122
16,4,1,16,Wavelets,0.2,0.0005,0.0009575926175708209,14,210418
32,4,1,16,Wavelets,0.2,0.0005,0.0009576388381551862,6,230490
