d_model,n_heads,e_layers,modes,version,dropout,lr,val_loss,best_epoch,n_params
32,8,1,16,Fourier,0.3,0.0005,0.0009512667600080276,4,36146
16,4,1,16,Wavelets,0.3,0.001,0.0009513424320030952,7,212658
32,4,1,16,Wavelets,0.3,0.001,0.0009514073626951141,2,234970
32,8,1,16,Wavelets,0.2,0.001,0.0009514869380274429,4,234970
16,4,1,16,Wavelets,0.2,0.0005,0.0009515966395721645,5,212658
16,8,1,16,Wavelets,0.2,0.0005,0.0009516419517838756,7,212658
32,8,1,16,Wavelets,0.3,0.0005,0.0009516852667972753,5,234970
16,8,1,16,Wavelets,0.3,0.001,0.0009520141622910368,3,212658
32,8,1,8,Fourier,0.3,0.0005,0.0009528049253022064,6,35122
32,8,1,8,Fourier,0.2,0.0005,0.000952819110388869,3,35122
16,8,1,8,Fourier,0.3,0.0005,0.0009528376626232801,10,14106
16,8,1,16,Fourier,0.3,0.001,0.0009530774620842834,9,14362
16,8,1,16,Fourier,0.3,0.0005,0.0009531449352203023,6,14362
32,4,1,16,Wavelets,0.2,0.001,0.0009532466518584585,3,234970
32,8,1,16,Fourier,0.3,0.001,0.0009533295945363602,3,36146
16,8,1,16,Fourier,0.2,0.001,0.0009533606185718471,4,14362
32,8,1,16,Wavelets,0.3,0.001,0.0009533656342399257,5,234970
16,4,1,16,Wavelets,0.3,0.0005,0.000953633857177295,8,212658
32,8,1,8,Fourier,0.3,0.001,0.0009536352191810365,9,35122
32,8,1,16,Fourier,0.2,0.001,0.0009538752664641635,2,36146
32,4,1,16,Wavelets,0.3,0.0005,0.0009540992345518784,9,234970
16,4,1,16,Wavelets,0.2,0.001,0.0009541664008252524,11,212658
16,8,1,16,Wavelets,0.2,0.001,0.000954365510077457,2,212658
16,8,1,16,Fourier,0.2,0.0005,0.0009545779265818705,12,14362
16,8,1,8,Fourier,0.2,0.0005,0.0009548133448290451,12,14106
32,8,1,8,Fourier,0.2,0.001,0.0009551477259090126,5,35122
16,8,1,8,Fourier,0.2,0.001,0.0009552202926317914,6,14106
16,8,1,8,Fourier,0.3,0.001,0.000955609609343301,7,14106
32,8,1,16,Wavelets,0.2,0.0005,0.0009558264766516244,9,234970
16,8,1,16,Wavelets,0.3,0.0005,0.0009560066065047712,8,212658
32,4,1,16,Wavelets,0.2,0.0005,0.0009569607385240247,8,234970
32,8,1,16,Fourier,0.2,0.0005,0.000957325438114508,10,36146
