d_model,n_heads,e_layers,factor,dropout,lr,val_loss,best_epoch,n_params
32,2,1,3,0.3,0.0005,0.0008967585194654561,15,29906
16,2,1,5,0.4,0.001,0.0009116144380376738,12,11754
32,2,1,3,0.3,0.001,0.0009120431956679624,15,29906
32,2,1,3,0.4,0.001,0.0009231260377656082,7,29906
32,2,1,5,0.3,0.001,0.000923418885782444,9,29906
32,2,1,5,0.3,0.0005,0.000931964473893632,14,29906
16,2,1,5,0.4,0.0005,0.0009408147978953224,4,11754
16,2,1,5,0.3,0.0005,0.0009615742681038659,16,11754
32,2,1,5,0.4,0.001,0.0009657591984819011,1,29906
16,2,1,5,0.3,0.001,0.0009941958253374041,4,11754
16,2,1,3,0.3,0.001,0.0010280622447365584,26,11754
16,2,1,3,0.4,0.001,0.0010472694100939412,10,11754
16,2,1,3,0.3,0.0005,0.0010498668458046234,12,11754
32,2,1,5,0.4,0.0005,0.0010573186368247663,9,29906
32,2,1,3,0.4,0.0005,0.0012658453749682286,11,29906
16,2,1,3,0.4,0.0005,0.0013019040103673058,6,11754
