d_model,n_heads,e_layers,dropout,pool,lr,val_loss,best_epoch,n_params
32,8,1,0.4,sp500_token,0.001,0.000955830400347686,15,15282
32,8,1,0.3,sp500_token,0.001,0.0009566420770290238,15,15282
16,4,1,0.4,sp500_token,0.001,0.0009590644635177189,20,4442
32,4,1,0.3,sp500_token,0.001,0.0009593247376391235,13,15282
32,4,1,0.4,sp500_token,0.001,0.0009598497433487226,18,15282
16,4,1,0.3,mean,0.001,0.0009620341297242027,19,4442
16,8,1,0.3,sp500_token,0.001,0.0009652088105305437,12,4442
16,4,1,0.3,sp500_token,0.001,0.0009664110156421702,25,4442
32,4,1,0.4,sp500_token,0.0005,0.0009669871913455723,16,15282
16,8,1,0.4,mean,0.0005,0.0009675414572782305,17,4442
32,4,1,0.3,sp500_token,0.0005,0.0009679731054880045,24,15282
32,8,1,0.3,sp500_token,0.0005,0.0009693835330060987,18,15282
16,8,1,0.3,sp500_token,0.0005,0.0009694669874302083,26,4442
32,8,1,0.4,mean,0.0005,0.0009697569159950783,16,15282
32,8,1,0.3,mean,0.0005,0.0009719062563615284,17,15282
32,8,1,0.3,mean,0.001,0.000972562308892584,14,15282
16,8,1,0.3,mean,0.001,0.0009727555266781362,10,4442
32,4,1,0.4,mean,0.001,0.000974872088265592,13,15282
32,8,1,0.4,mean,0.001,0.0009766158637470775,12,15282
16,4,1,0.4,mean,0.001,0.000977705085660451,14,4442
32,4,1,0.4,mean,0.0005,0.0009856507223209039,15,15282
16,8,1,0.4,sp500_token,0.0005,0.0009867072343050438,27,4442
16,8,1,0.4,sp500_token,0.001,0.0009870527744136265,21,4442
32,4,1,0.3,mean,0.001,0.000987111121995022,8,15282
32,8,1,0.4,sp500_token,0.0005,0.0009878945360345165,20,15282
32,4,1,0.3,mean,0.0005,0.0009911832244569267,22,15282
16,4,1,0.4,sp500_token,0.0005,0.0010042387119676497,26,4442
16,4,1,0.3,sp500_token,0.0005,0.0010255348703206556,25,4442
16,8,1,0.4,mean,0.001,0.0010357976706760724,20,4442
16,8,1,0.3,mean,0.0005,0.0010485140146281931,20,4442
16,4,1,0.3,mean,0.0005,0.0010770459138212314,22,4442
16,4,1,0.4,mean,0.0005,0.001106662175837247,21,4442
