d_model,n_heads,e_layers,dropout,pool,lr,val_loss,best_epoch,n_params
16,4,1,0.4,sp500_token,0.001,0.0009513185616798806,19,4442
32,4,1,0.3,sp500_token,0.001,0.0009525752817362026,18,15282
32,4,1,0.4,sp500_token,0.001,0.000959220519829808,20,15282
16,4,1,0.3,sp500_token,0.001,0.0009595861207599055,28,4442
32,4,1,0.4,sp500_token,0.0005,0.0009613181888207272,21,15282
16,8,1,0.3,sp500_token,0.001,0.0009614999814326202,18,4442
32,8,1,0.4,sp500_token,0.001,0.0009624639713680682,18,15282
32,8,1,0.3,sp500_token,0.001,0.0009625063604262135,9,15282
32,8,1,0.3,sp500_token,0.0005,0.0009631434148651309,13,15282
16,4,1,0.4,sp500_token,0.0005,0.0009671385710561479,26,4442
32,8,1,0.4,sp500_token,0.0005,0.000968763227937284,24,15282
32,4,1,0.3,sp500_token,0.0005,0.0009729023523101604,20,15282
16,8,1,0.4,sp500_token,0.001,0.0009733525312850651,15,4442
16,4,1,0.3,sp500_token,0.0005,0.0009771575464604981,23,4442
16,8,1,0.4,sp500_token,0.0005,0.0009810714819579605,30,4442
16,8,1,0.4,mean,0.001,0.000981419042770015,11,4442
16,8,1,0.3,sp500_token,0.0005,0.0009905312795914555,23,4442
32,8,1,0.3,mean,0.001,0.0009953403225041251,11,15282
16,4,1,0.3,mean,0.001,0.0010033301927300322,7,4442
16,4,1,0.3,mean,0.0005,0.0010052816050248562,14,4442
32,4,1,0.3,mean,0.0005,0.001006582027281944,11,15282
32,4,1,0.4,mean,0.0005,0.0010203694773316739,13,15282
32,8,1,0.4,mean,0.0005,0.0010252052219214423,9,15282
16,8,1,0.4,mean,0.0005,0.001029873382120981,20,4442
32,8,1,0.3,mean,0.0005,0.0010397487885610384,6,15282
32,4,1,0.3,mean,0.001,0.0010472482552645293,6,15282
32,4,1,0.4,mean,0.001,0.0010498512120967782,9,15282
32,8,1,0.4,mean,0.001,0.0010676262200630857,5,15282
16,4,1,0.4,mean,0.0005,0.0012273140651779472,22,4442
16,4,1,0.4,mean,0.001,0.0012870826699218707,20,4442
16,8,1,0.3,mean,0.001,0.001546634648392045,12,4442
16,8,1,0.3,mean,0.0005,0.0017660941998215189,14,4442
