hidden_size,n_layers,dropout,lr,val_loss,best_epoch,n_params
16,1,0.3,0.001,0.0009479598293602111,8,1626
32,1,0.5,0.0005,0.000954089402546884,8,5554
16,1,0.5,0.0005,0.0009578707931853464,12,1626
32,1,0.4,0.001,0.0009582489989890416,4,5554
32,1,0.4,0.0005,0.0009619258869800639,5,5554
32,1,0.3,0.001,0.0009620646518227217,3,5554
16,1,0.5,0.001,0.0009635261094141366,7,1626
16,1,0.4,0.001,0.0009661154908132525,6,1626
32,1,0.5,0.001,0.0009742115368098258,4,5554
32,1,0.3,0.0005,0.0009765703559058033,11,5554
16,1,0.3,0.0005,0.0009779897231581977,15,1626
16,1,0.4,0.0005,0.0009879563623796468,12,1626
