hidden_size,n_layers,dropout,lr,val_loss,best_epoch,n_params
32,1,0.3,0.001,0.0010979330860854191,2,23474
32,1,0.4,0.0005,0.0011542747382056826,6,23474
16,1,0.5,0.001,0.0011593424594799717,6,10586
16,1,0.4,0.001,0.0011600584259244876,7,10586
16,1,0.4,0.0005,0.0012327458314147493,17,10586
16,1,0.3,0.001,0.0012441757986461225,8,10586
32,1,0.4,0.001,0.0012444712011371584,5,23474
32,1,0.5,0.001,0.0012922594717974718,3,23474
32,1,0.3,0.0005,0.0012934458438700897,5,23474
16,1,0.3,0.0005,0.0013336993147587976,23,10586
32,1,0.5,0.0005,0.001380374764879967,5,23474
16,1,0.5,0.0005,0.001482297055606859,30,10586
