d_model,n_heads,e_layers,modes,version,moving_avg,dropout,wavelet_c,wavelet_k,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
64,8,2,32,Fourier,25,0.2,8,8,0.0005,random,0.5460604596819714,0.5074285171463855,0.5,2,149346
64,8,2,16,Wavelets,13,0.1,8,8,0.001,random,0.5445942210417318,0.5074285171463855,0.5,6,338986
64,8,2,16,Wavelets,13,0.2,8,8,0.0005,random,0.5444961714203274,0.518875273107248,0.5,4,338986
64,8,2,16,Fourier,25,0.2,8,8,0.0005,random,0.5455066843387056,0.4925714828536145,0.5,3,142178
128,8,2,16,Fourier,13,0.1,8,8,0.001,random,0.545310060226239,0.518875273107248,0.5,5,501442
64,8,2,16,Wavelets,25,0.1,8,8,0.0005,random,0.5449011765167767,0.518875273107248,0.5,2,338986
128,8,2,16,Wavelets,13,0.2,8,8,0.0005,refine,0.5453930303945584,0.5074285171463855,0.5,3,681930
64,8,3,16,Wavelets,13,0.2,8,8,0.0005,refine,0.5445698443828875,0.518875273107248,0.5,4,388394
64,8,2,16,Fourier,13,0.2,8,8,0.0005,refine,0.5450444721978558,0.518875273107248,0.5,10,142178
64,8,2,16,Wavelets,25,0.2,8,8,0.0005,refine,0.5462054290537754,0.5074285171463855,0.5,4,338986
64,8,2,16,Wavelets,13,0.1,8,8,0.0005,refine,0.5486625721824467,0.5074285171463855,0.5,1,338986
64,8,2,16,Wavelets,13,0.2,8,8,0.001,refine,0.545112743411205,0.518875273107248,0.5,10,338986
