d_model,n_heads,e_layers,dropout,version,modes,wavelet_level,moving_avg,pool,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
128,4,3,0.2,Wavelets,16,2,13,mean,0.001,random,0.5447382541149897,0.5088629239099458,0.5022085338866014,10,620994
64,4,2,0.1,Wavelets,16,3,13,mean,0.001,random,0.5463284308135572,0.5132421392609481,0.49838609018890945,1,111394
64,8,2,0.1,Wavelets,16,3,13,sp500_concat,0.0005,random,0.5461406391027296,0.5153795003324784,0.4986663474399635,7,117634
64,4,3,0.2,Wavelets,16,2,25,sp500_concat,0.001,random,0.5442187178561838,0.51901776384535,0.501356427998386,10,167234
128,4,3,0.2,Fourier,32,2,25,mean,0.001,random,0.5552574588711857,0.5180583262087964,0.4996355456978844,1,619586
128,4,3,0.2,Wavelets,16,3,13,mean,0.001,random,0.5523401518045604,0.498518096323739,0.4995471310898375,1,621762
128,4,3,0.1,Fourier,32,2,13,mean,0.0005,random,0.5457589375799489,0.5105443146195497,0.4966250455068897,7,619586
64,4,3,0.1,Fourier,16,2,13,mean,0.0005,random,0.5452358209295265,0.5128336658117223,0.4975118718235789,10,158370
128,4,3,0.2,Wavelets,16,2,25,sp500_concat,0.001,refine,0.5479287317995674,0.5001994870333428,0.507965579171502,4,645762
64,8,3,0.2,Wavelets,16,2,25,sp500_concat,0.001,refine,0.544362558210588,0.517953833000855,0.49975441804591897,2,167234
64,4,2,0.2,Wavelets,16,2,25,sp500_concat,0.001,refine,0.5478012406362862,0.5018713783604066,0.5124345166531199,4,117250
64,4,3,0.1,Wavelets,16,2,25,sp500_concat,0.001,refine,0.5448444266938479,0.5260188087774295,0.51766787155847,10,167234
64,4,3,0.2,Fourier,16,2,25,sp500_concat,0.001,refine,0.546638028635489,0.49990500617459865,0.5010913340596999,9,164610
64,4,3,0.2,Wavelets,16,3,25,sp500_concat,0.001,refine,0.5487452154226585,0.4873563218390805,0.5027495850877908,1,167618
64,4,3,0.2,Wavelets,16,2,13,sp500_concat,0.001,refine,0.5448043773778316,0.5153795003324784,0.49861414184229425,9,167234
64,4,3,0.2,Wavelets,16,2,25,mean,0.001,refine,0.5462270056656694,0.4959722618029828,0.4952518549230809,6,160994
64,4,3,0.2,Wavelets,16,2,25,sp500_concat,0.0005,refine,0.5447157740287205,0.5180488268262563,0.5034771445581994,10,167234
