d_model,n_heads,e_layers,dropout,version,modes,wavelet_level,moving_avg,pool,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
128,4,3,0.2,Wavelets,16,2,13,mean,0.001,random,0.5570034713592015,0.5177353472024318,0.4992499204647657,4,620994
64,4,2,0.1,Wavelets,16,3,13,mean,0.001,random,0.5462723244784553,0.5121022133561318,0.4970888088986165,8,111394
64,8,2,0.1,Wavelets,16,3,13,sp500_concat,0.0005,random,0.5462820197189026,0.502251353662012,0.504097189818494,7,117634
64,4,3,0.2,Wavelets,16,2,25,sp500_concat,0.001,random,0.5484735085955823,0.5074285171463855,0.49978425273248656,3,167234
128,4,3,0.2,Fourier,32,2,25,mean,0.001,random,0.5636785604091545,0.5127481713688611,0.4985504801270159,1,619586
128,4,3,0.2,Wavelets,16,3,13,mean,0.001,random,0.5514040353824307,0.5080079794813337,0.49678616030514267,10,621762
128,4,3,0.1,Fourier,32,2,13,mean,0.0005,random,0.5507696896748993,0.5156929799563028,0.5001674275676943,4,619586
64,4,3,0.1,Fourier,16,2,13,mean,0.0005,random,0.5598573416355409,0.5075900066495678,0.500330811191895,3,158370
128,4,2,0.1,Wavelets,16,3,13,mean,0.001,refine,0.5468610216570884,0.5069345492542985,0.4955500325758515,5,423490
64,8,2,0.1,Wavelets,16,3,13,mean,0.001,refine,0.5482619755241146,0.48752731072480293,0.4880237127575285,9,111394
64,4,3,0.1,Wavelets,16,3,13,mean,0.001,refine,0.5468283251455913,0.5085399449035812,0.500396193191434,3,161378
64,4,2,0.2,Wavelets,16,3,13,mean,0.001,refine,0.5504288692855762,0.5070105443146196,0.49547943062786315,3,111394
64,4,2,0.1,Wavelets,16,2,13,mean,0.001,refine,0.5506689562081407,0.5182863113897597,0.4996059976657944,3,111010
64,4,2,0.1,Wavelets,16,3,25,mean,0.001,refine,0.5504211919129014,0.4840790348627339,0.493907714875083,10,111394
64,4,2,0.1,Wavelets,16,3,13,sp500_concat,0.001,refine,0.5532585379992884,0.5074285171463855,0.5000157087580566,2,117634
64,4,2,0.1,Wavelets,16,3,13,mean,0.0005,refine,0.5464478499033042,0.5071720338178018,0.4935043976477526,9,111394
