d_model,n_heads,e_layers,factor,dropout,distil,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
64,8,3,3,0.1,True,0.001,random,0.5442631208920418,0.5201006934549255,0.5016689172549157,4,210082
64,8,2,5,0.1,False,0.0005,random,0.5441824130254604,0.5086539374940628,0.5048727200218939,9,135138
128,8,2,5,0.2,True,0.001,random,0.5442336533363359,0.5196637218580793,0.5025222709566544,10,520514
128,4,2,5,0.1,True,0.001,random,0.5447946629633396,0.5243754155979861,0.5206576583032858,9,520514
64,4,3,5,0.2,True,0.0005,random,0.5489966872275878,0.5053576517526361,0.5120919137862268,3,210082
64,4,2,5,0.2,False,0.001,random,0.5455183647880869,0.5074285171463855,0.5,5,135138
128,8,2,5,0.1,False,0.0005,refine,0.5438179088044259,0.5191127576707514,0.5006770727936323,10,470978
64,4,2,5,0.1,False,0.0005,refine,0.543061730693387,0.5238909470884392,0.5069785572047191,7,135138
64,8,3,5,0.1,False,0.0005,refine,0.5448112482515917,0.5157119787213831,0.4989558889841665,6,185122
64,8,2,3,0.1,False,0.0005,refine,0.5486469976286201,0.48718533295335803,0.4895547067424817,3,135138
64,8,2,5,0.2,False,0.0005,refine,0.5451125203844057,0.5185997910135841,0.5011294182951362,10,135138
64,8,2,5,0.1,True,0.0005,refine,0.5432724273951065,0.5193787403818751,0.5019974483646699,9,147618
64,8,2,5,0.1,False,0.001,refine,0.5434657629482696,0.516272442291251,0.5077613120432636,9,135138
