d_model,n_heads,e_layers,dropout,pool,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
64,8,3,0.2,target_token,0.0005,random,0.5454282285662767,0.5116937399069061,0.5013576928863441,4,156130
64,8,3,0.2,target_token,0.001,random,0.5460410373485178,0.5106963047401919,0.5009644443771673,2,156130
64,8,3,0.1,target_token,0.001,random,0.5448109090549037,0.5133181343212692,0.49795525290749687,9,156130
128,4,2,0.1,target_token,0.0005,random,0.5472775190091942,0.4872328298660587,0.49635371127642713,10,412994
128,4,2,0.1,mean,0.0005,random,0.5486406525983943,0.5078369905956113,0.49420160316509926,9,412994
128,8,3,0.2,target_token,0.001,random,0.5448108339554294,0.5066400683955543,0.4945637739454129,10,611266
128,4,3,0.2,target_token,0.001,refine,0.5481743486380322,0.492182008169469,0.4996651643200269,2,611266
128,8,2,0.2,target_token,0.001,refine,0.5507229320047429,0.5077229980051297,0.5003152511428091,4,412994
128,8,3,0.1,target_token,0.001,refine,0.5484887985577551,0.5138500997435167,0.4984022097835484,3,611266
128,8,3,0.2,mean,0.001,refine,0.5473349391355286,0.4806877552959058,0.48994320319590645,10,611266
128,8,3,0.2,target_token,0.0005,refine,0.5477474015108074,0.5066115702479339,0.49744342904847283,4,611266
