patch_len,stride,d_model,n_heads,e_layers,dropout,pool,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
8,4,64,4,2,0.1,target_channel,0.0005,random,0.5445311213486371,0.5194452360596561,0.501205619577267,1,160898
8,8,64,8,3,0.1,target_channel,0.001,random,0.544557263084068,0.5194262372945758,0.5021011982718573,8,180866
16,4,64,4,2,0.2,target_channel,0.001,random,0.5444142749101855,0.518875273107248,0.5000039165888285,1,152834
16,8,128,4,3,0.1,target_channel,0.0005,random,0.544598148726801,0.5186852854564453,0.4999127402473242,3,698242
16,4,128,4,2,0.1,mean,0.001,random,0.5452779742719509,0.4925429847059941,0.4999278247639998,1,600578
8,4,128,4,2,0.2,mean,0.0005,random,0.544856043664594,0.5100218485798423,0.5015979349225621,1,633090
16,4,128,8,3,0.1,target_channel,0.0005,random,0.5444301754703342,0.518875273107248,0.5,6,798850
16,8,128,4,3,0.2,target_channel,0.0005,random,0.5443380614184038,0.518875273107248,0.5,6,698242
8,8,128,4,3,0.2,target_channel,0.0005,refine,0.5448511635327459,0.518875273107248,0.5,6,713986
16,4,128,4,3,0.2,target_channel,0.0005,refine,0.5443584821814653,0.518875273107248,0.5,5,798850
16,8,64,4,3,0.2,target_channel,0.0005,refine,0.5452622257067605,0.4950983186092904,0.5017717608969476,10,177090
16,8,128,8,3,0.2,target_channel,0.0005,refine,0.5448007533271009,0.518029828061176,0.5019773046976683,8,698242
16,8,128,4,2,0.2,target_channel,0.0005,refine,0.5466823186744841,0.518875273107248,0.5,2,499970
16,8,128,4,3,0.2,mean,0.0005,refine,0.5445123285290137,0.5188657737247079,0.499992018753978,2,698242
16,8,128,4,3,0.2,target_channel,0.001,refine,0.5453186136303526,0.5188847724897881,0.500009721952168,5,698242
