patch_len,stride,d_model,n_heads,e_layers,dropout,pool,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
8,4,64,4,2,0.1,target_channel,0.0005,random,0.544604963548301,0.5185997910135841,0.49977333080726294,2,160898
8,8,64,8,3,0.1,target_channel,0.001,random,0.5445175421682984,0.5194452360596561,0.50100413284087,5,180866
16,4,64,4,2,0.2,target_channel,0.001,random,0.5451516041674596,0.5188847724897881,0.500009721952168,1,152834
16,8,128,4,3,0.1,target_channel,0.0005,random,0.5445372970036046,0.5189227700199487,0.5000641659000681,5,698242
16,4,128,4,2,0.1,mean,0.001,random,0.5443679651870249,0.518875273107248,0.5,6,600578
8,4,128,4,2,0.2,mean,0.0005,random,0.545196283625732,0.5188657737247079,0.5000002871081715,1,633090
16,4,128,8,3,0.1,target_channel,0.0005,random,0.544430595199822,0.51901776384535,0.5002389570613297,1,798850
16,8,128,4,3,0.2,target_channel,0.0005,random,0.5446236683725122,0.518875273107248,0.5000010022528559,6,698242
8,4,128,4,2,0.1,mean,0.001,refine,0.5445354379592509,0.5188372755770875,0.4999763433701053,9,633090
16,8,128,4,2,0.1,mean,0.001,refine,0.5444502268578577,0.518875273107248,0.5,5,499970
16,4,64,4,2,0.1,mean,0.001,refine,0.5469937314151008,0.5192362496437731,0.5007142437385406,4,152834
16,4,128,8,2,0.1,mean,0.001,refine,0.5445836636736328,0.518875273107248,0.5,8,600578
16,4,128,4,3,0.1,mean,0.001,refine,0.5443522074628648,0.518875273107248,0.5,8,798850
16,4,128,4,2,0.2,mean,0.001,refine,0.5444351243669291,0.518875273107248,0.5,6,600578
16,4,128,4,2,0.1,target_channel,0.001,refine,0.544643855475401,0.518875273107248,0.5,3,600578
16,4,128,4,2,0.1,mean,0.0005,refine,0.5445303171190813,0.5188372755770875,0.4999793912489563,5,600578
