d_model,n_heads,e_layers,modes,version,dropout,lr,val_loss,best_epoch,n_params
128,8,2,32,Fourier,0.1,0.0005,0.0006537965832785736,2,548611
128,8,2,16,Wavelets,0.0,0.001,0.0006538050535014523,4,700427
64,8,2,32,Fourier,0.0,0.001,0.0006538505955517516,7,158595
64,8,2,16,Wavelets,0.0,0.001,0.0006539042675856923,6,348235
64,8,2,16,Fourier,0.0,0.001,0.0006539156523589088,11,151427
128,4,2,16,Wavelets,0.0,0.001,0.0006540303516973833,8,700427
128,4,2,16,Wavelets,0.0,0.0005,0.0006540467641069005,1,700427
64,8,2,16,Fourier,0.1,0.0005,0.0006540562226501558,9,151427
64,8,2,32,Fourier,0.1,0.001,0.0006540979141225354,3,158595
64,8,2,32,Fourier,0.1,0.0005,0.0006541220916759903,6,158595
64,8,2,16,Wavelets,0.1,0.001,0.0006541497526823718,7,348235
128,8,2,16,Wavelets,0.1,0.001,0.0006541867231504935,7,700427
128,8,2,32,Fourier,0.1,0.001,0.0006541963868320642,10,548611
128,8,2,16,Fourier,0.1,0.0005,0.0006542127083677274,7,519939
128,8,2,32,Fourier,0.0,0.001,0.0006542210717197276,2,548611
128,4,2,16,Wavelets,0.1,0.0005,0.0006542366877731633,3,700427
128,8,2,16,Fourier,0.1,0.001,0.0006542705751172596,2,519939
128,8,2,16,Fourier,0.0,0.0005,0.0006544540088309737,4,519939
128,8,2,32,Fourier,0.0,0.0005,0.0006545188985431597,1,548611
128,8,2,16,Fourier,0.0,0.001,0.0006545764643066578,7,519939
64,8,2,16,Wavelets,0.0,0.0005,0.000654654772027329,9,348235
64,8,2,16,Fourier,0.1,0.001,0.0006548611258477075,7,151427
128,4,2,16,Wavelets,0.1,0.001,0.0006548669722896955,10,700427
128,8,2,16,Wavelets,0.1,0.0005,0.0006548764659188619,9,700427
64,4,2,16,Wavelets,0.0,0.001,0.0006548793913579307,2,348235
128,8,2,16,Wavelets,0.0,0.0005,0.0006552126556236994,7,700427
64,8,2,16,Fourier,0.0,0.0005,0.0006554157883961262,5,151427
64,4,2,16,Wavelets,0.1,0.001,0.0006555310574437623,3,348235
64,8,2,16,Wavelets,0.1,0.0005,0.0006555465912267859,4,348235
64,8,2,32,Fourier,0.0,0.0005,0.0006558657859077819,6,158595
64,4,2,16,Wavelets,0.1,0.0005,0.0006562635910430575,7,348235
64,4,2,16,Wavelets,0.0,0.0005,0.000656563734208765,4,348235
