hidden_size,n_layers,dropout,lr,val_loss,best_epoch,n_params
128,4,0.1,0.001,0.0006312180302959735,16,545539
64,3,0.0,0.001,0.0006418989943856627,1,122755
256,2,0.2,0.001,0.0006436484810190736,4,972291
256,4,0.2,0.001,0.0006442288624813165,20,2024963
256,2,0.0,0.0005,0.0006463982741021514,7,972291
64,4,0.2,0.001,0.0006521309226671745,15,156035
128,4,0.0,0.0005,0.0006608435889226374,3,545539
128,4,0.0,0.001,0.0006608813187789266,5,545539
256,2,0.0,0.001,0.0006639377974074842,4,972291
256,3,0.2,0.001,0.000664856155401883,6,1498627
64,4,0.0,0.001,0.0006660989325173096,2,156035
256,1,0.0,0.001,0.0006669525907473859,7,445955
128,3,0.0,0.0005,0.0006673150515994681,1,413443
256,3,0.0,0.001,0.000667895957065088,2,1498627
64,3,0.0,0.0005,0.0006679159932711762,1,122755
64,4,0.0,0.0005,0.0006684656249570034,3,156035
256,3,0.2,0.0005,0.0006690376665922824,7,1498627
256,4,0.0,0.001,0.0006745093184583508,1,2024963
128,3,0.0,0.001,0.0006765006227025173,1,413443
64,2,0.1,0.001,0.000684899886813032,9,89475
64,1,0.2,0.001,0.0006893063370056674,11,56195
64,2,0.0,0.0005,0.0006900769795504061,3,89475
256,4,0.1,0.001,0.000692755716001103,10,2024963
128,2,0.1,0.001,0.0006944781075732882,9,281347
256,3,0.0,0.0005,0.0006955326396346041,1,1498627
128,2,0.2,0.001,0.0006993764177433648,4,281347
256,4,0.0,0.0005,0.0007026419468335893,1,2024963
64,2,0.0,0.001,0.0007027408385576194,2,89475
256,4,0.2,0.0005,0.0007067708931454645,7,2024963
256,2,0.1,0.001,0.0007071644786958246,8,972291
64,1,0.0,0.001,0.0007115529653052724,8,56195
128,2,0.0,0.0005,0.0007177111824466815,7,281347
128,1,0.1,0.001,0.0007182842082350448,13,149251
128,2,0.0,0.001,0.0007245628957423719,5,281347
256,3,0.1,0.001,0.0007259974145388562,15,1498627
128,3,0.1,0.001,0.000737042274373405,13,413443
256,1,0.2,0.0005,0.0007536344304917419,3,445955
64,2,0.2,0.001,0.0007715745620412309,11,89475
256,1,0.1,0.001,0.000773181430629818,7,445955
128,1,0.2,0.001,0.000776249563695721,9,149251
256,2,0.1,0.0005,0.0007884021440852115,4,972291
128,1,0.0,0.0005,0.0008017380507318755,11,149251
128,2,0.2,0.0005,0.0008052317694466192,19,281347
128,4,0.2,0.001,0.0008103833372508956,12,545539
128,1,0.1,0.0005,0.0008234593419865737,11,149251
256,2,0.2,0.0005,0.0008255186602021578,5,972291
128,3,0.2,0.001,0.0008276524960534437,13,413443
128,1,0.0,0.001,0.0008296037488563231,6,149251
256,3,0.1,0.0005,0.0008639209510169183,8,1498627
256,4,0.1,0.0005,0.0008641901860491095,12,2024963
256,1,0.0,0.0005,0.0008649774466793958,9,445955
128,3,0.2,0.0005,0.0008663109204716825,22,413443
256,1,0.1,0.0005,0.0008867835630307847,1,445955
64,1,0.0,0.0005,0.0009082990752825595,7,56195
128,4,0.1,0.0005,0.0009126461667006547,14,545539
128,1,0.2,0.0005,0.0009377746241636076,5,149251
64,3,0.1,0.001,0.0009610385770584708,14,122755
64,1,0.1,0.001,0.0009710949119158932,2,56195
64,1,0.2,0.0005,0.0009786084327388631,7,56195
64,2,0.2,0.0005,0.0009839086961130209,11,89475
64,3,0.1,0.0005,0.0010131894805475072,11,122755
256,1,0.2,0.001,0.0010265578046940078,2,445955
128,2,0.1,0.0005,0.0010327969615371343,5,281347
64,3,0.2,0.001,0.0010679294172390504,7,122755
128,4,0.2,0.0005,0.0010960868465139876,11,545539
64,4,0.1,0.001,0.0011037525948885544,14,156035
64,1,0.1,0.0005,0.0011100864487401194,8,56195
64,3,0.2,0.0005,0.0011103752404709474,14,122755
64,2,0.1,0.0005,0.0011688040501672526,11,89475
64,4,0.1,0.0005,0.0011789225779611436,11,156035
128,3,0.1,0.0005,0.0012521407422856976,16,413443
64,4,0.2,0.0005,0.0018566297216654926,11,156035
